Tip,chinese_name,episode,movie_name,ranking,score,score_num,summary
"
3话 / 2020年3月27日 / 塩谷直義 / 恩田尚之 ",心理测量者3 FIRST INSPECTOR,3,PSYCHO-PASS サイコパス 3 FIRST INSPECTOR,2290,6.9,(292人评分),"2120年、東京。シビュラシステムによって管理された社会で、刑事課一係を率いて事件を解決してきた二人の監視官、慎導灼と炯・ミハイル・イグナトフは、事件を捜査していく渦中で真実と正義を巡り決裂してしまう。,
それらの事件の裏で暗躍する梓澤廣一は、ついに刑事課そのものを標的に定め、公安局ビルを襲撃する。かつてない窮地に立たされた公安局刑事課一係。灼と炯の信義を問う、最後の事件が起きる――"
"
1话 / 2015年6月20日 ",攻壳机动队 新剧场版,1,攻殻機動隊 新劇場版,2291,6.9,(340人评分),"　　公元2029年3月，日本总理大臣暗杀事件出现。在闻所未闻的恐怖袭击中，草薙素子曾从属的“501机关”的上司库露兹也成为了被害者。——战后最凶恶的事件爆发，素子等人立刻开始搜査。,
　　随着调查深入，素子开始追查犯人头目，为此，她召集曾合作过的能人异士。这些人大多从未有过团队合作的经验，因此最初并不顺利，但即使如此，大家也一点点揭示出事件的真相。,
　　在大使馆中发生的人质事件、总理大臣暗杀事件的背后，他们发现了一种特殊的电脑病毒“fire starter”，随后大家发现，这件事与素子诞生的秘密有关……,
　　当理解恐怖事件的全貌之时，素子等“怪人集团”也陷入危机，渐渐走入绝境，此时素子向大家下令：“听从自己的GHOST”。,
　　这便是后来以“STAND ALONE TEAM”闻名的“攻壳机动队”诞生的故事。"
"
1话 / 2012年11月16日 ",妖精的尾巴 妖精们的合宿,1,FAIRY TAIL 妖精たちの合宿,2300,6.9,(163人评分),大魔闘演武にむけてナツやルーシィ達が合宿に！FAIRY TAILの仲間達が海や温泉で大騒ぎ！
"
1话 / 2012年6月28日 ",.hack//Versus 塔那托斯报告,1,.hack//Versus タナトスレポート,2301,6.8,(55人评分),"    游戏hack//Versus中，将故事模式通关后才能够观看的名为""塔那托斯报告(タナトスレポート)""的原创动画。这部动画将以电影中的登场人物戴比特(デビッド)的视点出发,揭开围绕系列全体的主题""网络危机(ネットワーククライシス)""的最后的真相。,
"
"
1话 / 2016年2月24日 ",黑塔利亚 The World Twinkle 万圣节特别篇,1,ヘタリア The World Twinkle サプライズ・ハロウィーン!,2302,6.9,(75人评分),
"
104话 / 2003年4月6日 / 桜井弘明 ",Di Gi Charat NYO,104（52）,デ・ジ・キャラットにょ,2303,6.8,(60人评分),"『ギャラクシーエンジェル』以降、ブロッコリー枠において同社の看板作となっている『デ･ジ･キャラット』シリーズ。本作では舞台を「まねきねこ商店街」に変え、様々な新キャラクターを登場させた。,
,
また、前作『ぱにょぱにょデ･ジ･キャラット』からリンナ･キャラット及びミ･ケ･キャラットが登場した。シリーズ後期（40回 - 52回）はプリンセススクール編として、でじこ達がはじめて学校に通うエピソードが登場。"
"
26话 / 1998年4月8日 / 富野由悠季 / 矢立肇・富野由悠季 / いのまたむつみ ",灵魂力量,26,ブレンパワード,2304,6.9,(115人评分),在未来，世界各地不断的发生天灾异变，在调查原因时人类在太平洋海沟底部发现了一个神秘的遗迹Orphan，让人惊讶的是它是一台有意识的宇宙船。为了能够移动到宇宙航行，Orphan不断地吸收地球的生命能源。而有一群人将Orphan视为救世主，组成名为Recramer的组织帮助Orphan获得足够的力量以便浮出水面航向宇宙。但是那时地球上所有生命能量也会被吸收殆尽，引起史无前例的超级巨浪吞没地球上的所有生物。为阻止人类灭亡的命运，联合国方面建造了一艘战斗专用母舰NoviceNoah与Orphan上的人展开战斗……
"
1话 / 2008年 ",苍蝇一分钟的生命,1,One Minute Fly,2305,6.9,(143人评分),"　　这是一个薄雾未散的清晨，四周一片寂静。在一片菜地中，某张萝卜叶上，有一枚毫不起眼的虫卵。不久，里面的新生命颇见而出。这是一只心情愉悦的苍蝇，但是它的快乐和 新鲜感并未 持续太久，因为头顶上的计数器分明显示它只有一分钟的生命。一分钟？如此之短，该如何度过？正当它惊慌失措之时， 一张死去前辈曾用过的清单飘到它的手上，上面清楚列出了一分钟之内它应该做到的事情。比如：填饱肚子、唱歌跳舞、挑战极限、躲避天敌追杀、恋爱生子、救死扶伤、结交朋友、乃至成名种种。在接下来的一分钟里，这只苍蝇开始了它短暂而辉煌的一生……,
　　德国动画导演Michael Reichert以夸张的线条和幽默的笔触，为我们描绘了一只苍蝇在短短的一分钟生命中的各种精彩。或许我们在哀叹人生的平庸，或被生活压迫得气喘吁吁时，可以获得些许感悟和慰藉。 一分钟能干什么？也许不过是电脑的开机时间，也许不过是发一条微博的时间。如果你的人生只有一分钟，你会何去何从？但是对于只有一分钟生命的苍蝇来说，那意味着匆匆的人生。　"
"
1话 / 1985年7月13日 ",鲁邦三世：巴比伦黄金传说,1,ルパン三世 バビロンの黄金伝説,2306,6.8,(61人评分),"相传古巴比伦毁灭之前，神明将全城的黄金集于一处，可如此巨大的一笔财富却在城破之后消失的无影无踪。几千年后的纽约街头，一个醉醺醺皱巴巴的老太婆，哼着一支关于巴比伦的歌谣来找鲁邦……,
本作为鲁邦三世剧场版第三部，于1985年7月13日上映。 "
"
2话 / 2017年12月23日 ",漂流武士 第二季,2,ドリフターズ episode 13-14,2307,6.9,(143人评分),
"
14话 / 2016年1月8日 / 小新 ",14,2016年1月8日,狐妖小红娘 王权篇,2309,6.9,(144人评分),
"
1话 / 2009年6月20日 / 松浦寿輝 ",川之光,1,川の光,2310,6.9,(80人评分),故事叙述父子三鼠住在河边过着平静的生活，原以为能在河畔眺望河光度过一生，死后化成雨、汇成小流，与喜爱的河川永远融合一体。不料，东京都建设局打算兴建工程将河川铺成暗渠，它们只能离开家园，展开漫长惊险的旅程。
"
13话 / 2012年4月5日 / 追崎史敏 / 異識 / 渡辺敦子 ",一起一起这里那里,13,あっちこっち,2311,7,(2315人评分),"摘希虽然喜欢伊御，却没办法坦率的表现出来。伊御虽然不清楚摘希的心意，却还是温柔的对待她。两人的关系维持在朋友程度，尚未成为恋人。两人的朋友们总是在一旁热热闹闹的守护他们。,
自2006年10月号以三个月的短篇的形式开始在“まんがタイムきらら”连载。标题的英文为“PLACE TO PLACE”。摘希（尖端出版社译名）和伊御两人微妙的距离感让旁观的人反而比他们更害羞，这时两人的朋友会代替读者对他们吐槽。在第一集书腰上写着“看了之后一定会想要在地上打滚”。"
"
1话 / 2012年11月2日 ",鲁邦三世 东方见闻录 ～Another Page～,1,ルパン三世 東方見聞録 〜アナザーページ〜,2312,6.8,(70人评分),『ルパン三世 東方見聞録 〜アナザーページ〜』（ルパンさんせい とうほうけんぶんろく アナザーページ）は、モンキー・パンチ原作のアニメ『ルパン三世』のTVスペシャルシリーズ第23作。2012年11月2日に日本テレビ系列の『金曜ロードSHOW!』にて放送された。視聴率は13.2%。
"
1话 / 2018-12-14 / Geister ",1,12/14/2018,崩坏3 最后一课,2313,6.9,(86人评分),
"
13话 / 2004年4月3日 / 井上和郎（小学館「少年サンデーコミックス」刊） / 楠本祐子 ",美鸟日记,13,美鳥の日々,2315,6.9,(590人评分),　　泽村正治，一个号称拥有“恶魔的右手”的男人，在学校常常是打架闹事，又有“狂犬”的称呼。虽然是常常打架闹事，但内心却极度渴望能与异性交往。因此曾经向无数的女孩告白过，但都被很干脆的拒绝了。直到某一天，在经过无数次的告白失败后，正治回到家里休息时，却发现自己的右手，变成了个女孩子的模样。
"
22话 / 2007年10月18日 / 中村隆太郎 / Production I.G、士郎正宗 / 岡真里子 ",神灵狩,22,神霊狩/GHOST HOUND,2324,6.9,(402人评分),　　居住在水天町的三为中学生，都有着各自无法抹杀却又不想回忆起的过去，不知是否因为相同的原因，他们的灵魂会发生体外脱离，并以这种形式穿梭于现世与 “幽世”之间。这个现实世界本没有神灵，随着“幽世”中不断发生异常，而开始吞噬现实世界。三位少年在“幽世”冒险的时候，逐渐了解到“幽世”与什么地方相连——献给持有少年心的成人们，一部永远的心灵少年谭。
"
3话 / 2008年8月12日 / 富田浩章→宮本幸裕→板村智幸 / 赤松健 / 実原登 ",魔法老师！～白色之翼 ALA ALBA～,3,魔法先生ネギま! ～白き翼 ALA ALBA～,2325,6.9,(157人评分),
"
3话 / 2013年12月9日 ",进击的巨人 OAD,3,進撃の巨人 OAD,2326,7,(1036人评分),单行本第12、13、14卷同捆OAD
"
1话 / 2008年3月8日 ",哆啦A梦 大雄与绿巨人传,1,ドラえもん のび太と緑の巨人伝,2327,6.9,(287人评分),故事是讲述大雄一天捡回了一棵小树苗，后来利用多啦A梦的植物自动急速生长液令树苗急速生长和懂得思想和行动。小树成为大家的一份子，后来延伸至植物圣地。植物圣地的人有感地球不断受到污染，让绿油油的树急速消失。此举令圣地的人动火了，绿之星的公主准备率领圣者一起将地球的树夺走，更忽视了小树，因为小树具有绿色巨人的灵魂，大家可以利用它。圣地有所行动了，小树亦对地球的污染感到失望，绿色巨人的灵魂苏醒了。小树摇身一变，成为绿色巨人。大雄等人开始要抢回小树。
"
3话 / 2008年2月22日 / 久行宏和 / 矢立肇 / 久行宏和 ",舞-乙HiME 0～S.ifr～,3,舞-乙HiME 0 ~S.ifr~,2328,6.9,(266人评分),"　　这是一场被加尔德罗贝封印的战争。讲述风华王家之秘，和爱莉卡的母亲＝雷娜·塞亚斯的故事。,
　　憧憬着乙HiME的少女＝西弗尔。某一天，魔手袭击了在无依无靠的同时仍坚强生存着的她。谜之组织「希巴鲁兹」们拐走了西弗尔。在危急时刻，将她救出的是黑衣绅士＝布鲁斯，他的女仆(?)＝蕾娜，紫苑修女和她的乙HiME＝Meister拉凯尔，以及五柱·一之柱=艾利奥特。,
　　少女西弗尔之谜。,
　　拥有乙HiME力量却将其拒绝的蕾娜。,
　　加尔德罗贝之谜。,
　　五柱的背叛。,
　　现在，正是先代乙HiME觉醒之时。,
　　标题中的“S.ifr”包含了两层意思：其一，它在阿拉伯语中是0的意思；其二，它也提示了作品中的主要角色西弗尔・布兰（Sifr Flan）。"
"
26话 / 2007年4月1日 / 鈴木利正 / XEBEC / 平井久司 ",英雄时代,26,ヒロイック・エイジ,2329,6.9,(417人评分),"《英雄时代》的主人Age是以黄金种族为父体、救生船育成机械为母体养育而成的孩子。Age可以和英雄种族中最强的“Velcros”“合体”，并能自由使用合体后产生的能力在拯救人类于存亡的关键时刻。话说，各种族为了回应“黄金种族”的号召，开始向宇宙跨进。而最后踏入宇宙世界成功的种族被人类称为“ 铁之种族”。时光流逝，人类受到了比自己更强大的“银之种族”的威胁，面临着生死存亡的危机。王女Deianeira为了人类的存续，为了寻回王家代代相传的“黄金种族”的预言，开始向遥远的银河跋涉，再然后她就与一个叫Age的少年相会了。而王女与少年的相会完全改变了宇宙的以及整个世界的命运……,
,
"
"
2话 / 2007年3月17日 / 山口晋 / 吉崎観音 / 追崎史敏 ",超剧场版 Keroro军曹2 深海的公主,2,超劇場版ケロロ軍曹2 深海のプリンセスであります!,2330,6.9,(180人评分),谜一般的Meru王子和他的随从Maru在一次海难中出现。某天，他决定迎聚一位公主，而他所锁定的目标居然是夏美，甚至还掳走了她。Keroro等人于是展开“救出夏美大作战”。另一方面，夏美受到Meru王子的高度礼遇，居住在借由她的记忆所投射出来的夏美城。她似乎因为自己的存在受到重视而乐在其中。但是同时，Meru又想把地球变成全都是水的星球，就像他们的故乡一样。Keroro等人能否成功救出夏美，守护地球？
"
26话 / 1998年10月10日 / 平野俊貴 / 永井豪 / 西岡忍 ",女恶魔人,26,デビルマンレディー,2332,6.8,(79人评分),"不动珍是一名年轻的职业模特，自从遇见一位自称为阿斯卡兰的神秘女子后，平静的生活被打乱。原来兰隶属于一个跨政府的组织：人类同盟，珍在兰的实验室内面对怪物时变身为兽人！一系列突如其来的打击令珍几乎崩溃。,
　　世界各国都陆续发现妖兽，其中有不少失去了人性而成为纯粹的野兽，给社会带来危害，但由于各国政府的掩盖，这些事件都不为大众所知；同时兰告诉珍：她的存在是特殊的！因为她是恶魔人：具有惊人力量、邪恶的心、却保留着人类脆弱感情的生物；她的存在就是为了消灭这些妖兽。,
　　珍的唯一好友泷浦和美一直把珍当做是自己的亲人，双亲被敌视珍的妖兽杀害后，她与珍更加亲密。在与妖兽不断的杀戮中，珍越来越迷惑自身的存在。而兰却渐渐显露出她的目的：原来她也有兽性基因，为达到目的她不断的利用善良的珍。珍虽然察觉到这些，但是自己的内心却无法抗拒兰的每项要求（命令）。,
　　妖兽的变身需要突变的兽性基因，虽然普通人可借用憎恨、欲望而妖兽化，但是与妖兽的接触同样会引发普通人的基因突变，日本国内的妖兽由此越来越多，当局已经无法再掩盖事实。此时由兰所提议的一项计划得到实施：给全体国民注射防止兽化的疫苗！同时把那些有兽化征兆的人关进集中营。可谁又知道，这是兰的一个阴谋：所谓的疫苗只会加速基因的突变！疫苗导致国民的不断兽化，日本政府机构的职能几乎完全瘫痪。美军进驻了日本，而兰也进化成大天使，以一副带给世人幸福安详的姿态出现在天空。,
　　失去了和美的珍清楚的知道，建立在无数鲜血上的天使是多么的虚伪，为了亲人与那些被屠杀迫害的兽人们，一场恶魔与天使的决战终于爆发……"
"
1话 / 2017年5月14日 / 彭擎政 ",游子吟,1,游子吟,2333,6.9,(94人评分),"冬雪，黄昏，北京的一座四合院里，几个孩子碰倒了一个箩筐，从里面掉出一件破烂的小棉袍，让散朝回来的父亲陷入沉思：“我给你们讲个故事罢…” ,
身穿破棉袄的小男孩儿，即将迎来第一次大考“童子试”。他想要一件新棉袄，穿着去考试。但家境贫寒的他只能把微小的愿望藏在心底。暮色深沉，小男孩的心愿会梦想成真吗？ ,
,
谨以此片献给全天下的母亲。"
"
24话 / 2008年4月5日 / 板野一郎 ",苍色骑士,24,BLASSREITER,2334,6.9,(592人评分),以近未来的德国市区为舞台。大街上发生了尸体复活变成怪物袭击人类的事件，并且，还出现了能自由变身成恶魔的人类。这些曾经是人类的家伙在得到了变身成恶魔的力量后开始反感被人认为是恶魔，因为各自的目的而隐藏着这股恶魔力量并且秘密的使用着恶魔力量，但是在这背后隐藏着他们无法逃避的命运。这就是得到恶魔力量的他们，赌上生命的荣誉之战。
"
6话 / 2015年5月20日 / 博史池畠 / 永井豪 / 川上哲也 ",机器人少女Z+,6,ロボットガールズZ+,2335,6.9,(260人评分),"練馬にふたたびピンチが襲い来る！　地下帝国の復活？,
新しい敵の登場？　突如現れた脅威に対し、あいかわ らずマイペースなチームＺには任せておけないと、,
生ま れ変わったチームＧ、新メンバーを加えたチームＬＯＤ、 そして期待の新人チーム號も駆けつけ、大騒ぎのトンデ モバトルがはじまる！　,
舞台は遊園地、ガールズフェス、 練馬の中心のアノ場所まで……！？　,
果たしてガールズ たちは勝利することができるのか？　,
思わぬダークホー ス、ボス子（ボスボロット）とパーンさん（パーンサロ イド）の活躍は？,
風雲急を告げる展開に、ついに練馬 追放のカウントダウンははじまった！！！"
"
13话 / 1998-11-18 ",飞天小女警,13,The Powerpuff Girls,2336,6.9,(469人评分),"　　絕大部分的故事都發生在美國一個名為小鎮村（The City of Townsville）的都市，飛天小女警則是這座城市的保護者，舉凡阻止銀行搶案、火場救援、防止怪獸破壞城市等，都是她們的工作。 飛天小女警對付犯案者及怪獸毫不留情，幾乎總是會狠狠的揍他們一頓，再把他們丟進監牢或交給警方。,
,
　　飛天小女警有專屬的熱線電話，市政廳、小橡樹幼稚園和基妮老師家裡都設有分機。發生犯罪事件時通常是由市長打電話通知飛天小女警。飛天小女警的主旨是「英雄不是絕對的善，壞蛋也不是絕對的惡…因為每個人都有好的本性和壞的本性，只看你怎麼選擇。」,
,
　　結尾畫面和結尾語亦為本作之特色，各故事皆有結尾畫面和結尾語。大部分的結尾畫面為飛天小女警三人，結尾語通常則是「一天又平安的過去了，感謝飛天小女警的努力！」但前兩者並非每集皆一成不變；較可能出現的會是解決該集紛爭最有助力的人、事、物，而也並非絕對單一個體（也可能複數）。"
"
26话 / 2009年4月7日 / 冨永恒雄 / 王欣太 / チームいんどり小屋（加野晃、林祐一郎、Cindy H Yamauchi、吉田大辅、梅原隆弘、まつしたあきこ） ",苍天航路,26,蒼天航路,2337,6.9,(129人评分),距今2000多年前，正是中国东汉末年，群雄割据的时期。为了平定天下，三位历史英雄诞生了，宦官之子曹操，编草鞋出身的刘备，将军的后代孙权。他们三个分别建立了自己的国家魏、蜀、吴。这就是后人津津乐道的三国时期。故事的主人公并不是刘备，而是被称为“乱世之奸雄，治世之能臣”的魏武帝•曹操，他有着无人能及的人格魅力和超越世人的谋略。经典漫画《苍天航路》以《三国志》为题材，以曹操的一生为主线，叙述了其从五岁到六十六岁，波澜壮阔的一生。
"
1话 / 2007年12月22日 / 松山洋 ",1,、,.hack//G.U. TRILOGY,2338,6.9,(120人评分),《.hack//G.U. TRILOGY》是以RPG《.hack//G.U.》为蓝本制作的93分钟长篇动画，故事讲述2017年，“The World”的续作“The World R:2”席卷世界，而由于设计缺陷而使R:2变成了无法无天的PK地带，而这部《.hack//G.U.TRILOGY》就是讲述发生在已变质的R:2世界里的悲剧故事。动画化阵容基本沿袭游戏阵容，原作游戏总指挥松山洋将担任动画监督。
"
13话 / 2018年10月5日 / 篠原俊哉 ",来自多彩世界的明天,13,色づく世界の明日から,2339,7,(1776人评分),"故事起始于数十年后的长崎。,
日常生活中残留着些许魔法的不可思议的世界。,
主人公月白瞳美，17岁，魔法使一族的末裔。自幼失去色觉的她，是个缺乏感情的女孩。,
她的祖母，大魔法使琥珀对瞳美的未来感到担忧，于是使用魔法将她送回了2018年。,
突然来到了一无所知的地方，瞳美所看到的世界变得鲜艳多彩起来……。"
"
26话 / 2006年 ",中华小子,26,中华小子,2347,6.9,(288人评分),"古代中国十七世纪，明朝末年，中原地区河南一带。一个恐怖的恶魔黑狐王复活了。他率领黑狐帮，为非作歹肆意妄为，使得中原生灵涂炭，百姓从此生活在水深火热之中。而黑狐王，他的野心并不如此简单：他最终的目的是一统中原，并且称霸天下。,
少林寺方丈三藏经少林祖师指点，寻找一千年前三位少林盖世英雄的转世。因为，只有这三个英雄的转世重聚首，才可以再次制服黑狐王，还天下太平。,
可是，当三藏方丈最终找到这三个英雄的转世之后，却惊讶地发现：他们唐小龙、花小兰和陈小虎还只是三个小孩子。要完成这个使命，对三藏方丈和这三个少林俗家弟子来说，都将是个极其严峻的考验……"
"
2话 / 2015年11月17日 ",野良神 ARAGOTO OAD,2,ノラガミ ARAGOTO OAD,2348,6.9,(735人评分),限定版单行本第15卷、第16卷同捆OAD
"
26话 / 2003年4月3日 / 羽原信义 / 杉崎由绮琉（角川书店Asuka Comics刊） / 山冈信一 ",天使怪盗,26,D・N・ANGEL,2349,7,(839人评分),"警笛尖锐的鸣叫……警察和记者在黑暗的夜晚飞速的奔跑……雕刻着天使的塔顶上出现了两个背上长着翅膀的人影在激烈的战斗。,
,
拥有恶魔翅膀的怪盗Dark和拥有天使翅膀的Krad拼尽一般在塔内激战，Krad在Dark的事先预谋下被打进了具有封锁力量的黑耀石。当指针指到12点正的时刻，Dark将Krad封印在黑耀石里面。然而，Krad和Dark是同一个人的不同两面，当Krad被封印的同时，Dark也被同时封印。,
,
40年之后，在爷爷和妈妈的努力下，被封印了Dark在14岁的丹羽大助身上觉醒。其觉醒的关键既然是大助喜欢的女生----原田梨纱的照片。睽违了40年之久的传说中的大怪盗Dark重现江湖……,
,
由于一次意外的发现，大助的同班同学日渡怜发现大助奇怪的能力，能解开精心设定过的密码，因而注意到大助，他怀疑大助就是重现江湖的怪盗Dark的宿主。而且他之所以会怀疑还有另外一个原因~~~,
,
传说中的怪盗的故事就这样展开了，到底大助是如何变身成Dark去执行任务却又不被发现呢？同学日渡怜的真实身份是什么？他为何绞尽脑汁要逮住怪盗Dark呢？,
,
让我们去揭开一切的真相吧……"
"
49话 / 2013年2月3日 ",DokiDoki! 光之美少女,49,ドキドキ!プリキュア,2350,6.9,(385人评分),相田爱在老师的信赖底下，成为了大贝第一中学学生会会长。在一次社会科的户外活动，她和同学来到地标建筑四叶塔（Clover Tower）参观，一路上忙着照顾众人。就在她终于可以停下来，与朋友并排欣赏展望台的景色时，巨大的怪物“自我中”突然出现，引起了庞大的混乱。不甘被伤害的相田，遇上了扑克牌王国的精灵夏露露，倚靠不可思议的饰物能量，变身成为光之美少女－－心天使。随后其青梅竹马六花和小学玩伴有栖亦加入光之美少女的行列，誓要一同要把失去“爱”的怪物彻底净化。
"
1话 / 1941-10-31 / Ben Sharpsteen / Samuel Armstrong / Norman Ferguson / 威尔弗雷德·杰克逊 / Jack Kinney / Bill Roberts / John Elliotte ",小飞象,1,Dumbo,2351,6.8,(73人评分),"       本片是是迪斯尼的第4部经典动画，其主题曲Baby Mine获得了奥斯卡最佳音乐片配乐奖奥斯卡最佳歌曲提名。1981年有人用这一动画形象建立了同名棋牌类游戏。,
       丹波是马戏团的一头小象，因为长着一双蓝眼睛和一对超大号的耳朵而成为大家嘲笑的对象。要在马戏团里立住脚，必须会一手绝活才行，可是丹波什么也不会，为此它很苦恼，这时，老鼠蒂莫西给了它安慰和帮助。一次，丹波失足掉进了盛着香槟酒的水桶，灌得酩酊大醉。这次意外事故却使丹波发现它可以靠扑扇它的大耳朵飞到空中。于是，丹波一夜之间成了观众最喜爱的小飞象，从此，母亲再也不必为儿子的未来犯愁了。 而珍宝太太也终于重获自由，母子俩从此快乐的生活在一起。"
"
12话 / 2014年10月5日 / 遠藤ミドリ ",银仙,12,繰繰れ! コックリさん,2352,6.9,(1509人评分),　　该作讲述了一人独自生活的市松小雏是个缺乏常识的电波族，某天她在玩弄银仙的过程中，召唤来了一把年纪的狐耳男性——自称“银松”的帅哥妖怪。妖怪对自称“人偶”的电波族市松的不健康生活形态感到担心，忍不住留下来来照顾她……一场超虚脱系又不可思议的搞笑故事就此开演。
"
1话 / 2005年8月20日 / 川崎逸朗 / CLAMP / 菊池洋子 ",翼·年代记 鸟笼国的公主,1,劇場版ツバサ・クロニクル 鳥カゴの国の姫君,2353,6.9,(600人评分),"为了拯救失去了全部记忆的爱人小樱，小狼抱着必死的决心来到了次元的魔女那里。,
魔女告诉了能救小樱唯一的办法就是找回所有飞散到异世 界的小樱的记忆的羽毛。,
为了实现小狼的愿望需要对价，魔女要求的对价就是小狼与小樱的关系性。,
来自异次元的忍者黑钢、魔术师法伊以及 作为向导的莫可拿，与小狼一起踏上了去往异世界的旅程。,
根据来自次元的魔女侑子那里的莫可拿的指引，小狼和小樱来到“鸟笼国”的故事 开始了。,
那里本是一个人们同鸟一起相伴生活的和平的国家。,
但是，由于如今国王的压制，叛逆者的鸟被夺走并被强制过上了悲惨的生活。,
国王用不可思议的羽毛的力量支配着国民。,
他所拥有的的确就是小樱的记忆吗？与黑钢、法伊分开，落进了茂密的森林里……"
"
1话 / 2017年12月31日 / 桜井弘明 ",侦探歌剧 少女福尔摩斯 亚森 华丽的欲望,1,探偵オペラ ミルキィホームズ アルセーヌ 華麗なる欲望,2354,6.9,(109人评分),タイトル通り、怪盗アルセーヌが大活躍するアニメになっており、キービジュアル及び先行場面カットもその活躍を予感されるものになってます。
"
1话 / 2013年9月13日 / 浅香守生 / 末次由紀（講談社「BE・LOVE」連載） ",歌牌情缘 OAD,1,ちはやふる OAD,2355,6.9,(473人评分),漫画单行本第22卷限定版同捆OAD动画 。
"
26话 / 2004-01-15 / NeSKeS ",光与水的女神,26,光と水のダフネ,2356,6.8,(63人评分),"　　在未来世界，温室效应令全球水位上涨，很多地区被淹没在海洋里。,
　　主人公是居住在某个海洋都市里的15岁少女——水树 玛依亚作为海洋厅的高级精英官员，一路顺风地走过光彩夺目的人生大道，本以为自己的未来将是如此，定能通过待望已久的海洋厅就职考试的玛依亚却没有合格……,
　　无家可归的玛依亚 由于意外的事件就职在了环绕海洋都市展开工作的小型私人连锁企业All Round Service 也就是“什么都做公司的”的Nereisu camtschaticus支店下工作…… "
"
1话 / 2013年4月20日 ",蜡笔小新 超级美味B级美食大逃亡,1,クレヨンしんちゃん バカうまっ！B級グルメサバイバル!!,2357,6.9,(148人评分),"　　阳光明媚的一天，盛大的B级美食嘉年华在春日部市召开，野原新之助看到新闻后兴奋非常，于是和樱田妮妮、风间彻、代全林、佐藤正男等好朋友们商定，偷偷前往嘉年华大饱口福。与此同时，B级美食嘉年华举行的消息也传到所谓的A级美食机构。该机构最高负责人满美食大人对B级食物充满鄙夷，他决定彻底摧毁这些下等吃食。未久，A级美食的飞船飞临嘉年华，对底层料理手艺人进行无情驱逐。为了挽救B级美食，炒面阿健决定启用传承已达五十代的秘制酱汁。阿健的相好红子走投无路，将酱汁罐子交给春日部防卫队的各位。,
　　小新和朋友们无意间承担起包围B级美食的重任……"
"
1话 / 2002年2月5日 / 中澤一登 ",喜剧,1,喜劇,2358,6.9,(189人评分),"故事以爱尔兰独立战争为背景，小女孩的村子正面临凶残英军的铁蹄。,
凭借对传说中的恶魔城及黑剑士的天真的信仰，,
小女孩鼓起勇气带上一本喜剧，踏上寻找骑士的征程。,
有惊无险的交易成功后，黑剑士解决了前往村子的军队。,
若干年后小女孩回忆起了当年的事"
"
1话 / 日本：2004-07-17、美国：2005-02-15、台湾：2006-04-15等 / 湯山邦彦 / 田尻智、増田順一、杉森建 / 毛利和昭、松原徳弘、一石小百合 ",剧场版 精灵宝可梦超世代：裂空的访问者 代欧奇希斯,1,劇場版ポケットモンスター アドバンスジェネレーション 裂空の訪問者 デオキシス,2359,6.9,(423人评分),四年前，一颗陨石坠落至极地，从中诞生出DNA神奇宝贝-代欧奇希斯，居住在大气层的天空神奇宝贝－裂空坐，因而认为代欧奇希斯侵略它的领域，双方展开了一场激战。最后，裂空坐打败了代欧奇希斯，代欧奇希斯的核心沉到了海里，伦多博士正好带着他的助手优子及儿子小超来此地考察，目睹了这一切，并带走了另一个还留在陨石内没有复活的代欧奇希斯的核心。小超从此变得很害怕神奇宝贝。四年后，小智等人为了挑战对战塔，造访了小超居住的高科技城市-拉鲁斯市。在阴错阳差下，小超被误当成挑战者和小智一起被送上竞技场。就在同时，代欧奇希斯又完全复原，它依据其同伴所发出的信号，来到了拉鲁斯市。双方的大战一触即发....
"
10话 / 2020年3月5日 ",恶魔城 第三季,10,Castlevania Season 3,2360,6.8,(70人评分),
"
12话 / 2003年10月4日 / 高本宣弘 / 介錯 / 藤井まき ",圆盘皇女 十二月的小夜曲,12,円盤皇女ワるきゅーレ 十二月の夜想曲,2361,6.8,(74人评分),　宇宙船や宇宙人が珍しくない世界の銭湯・時乃湯で繰り広げられる下町ＳＦラブコメディの第２期シリーズ。「鋼鉄天使くるみ」の介錯の同名人気コミックのＴＶ化。時野和人に魂の半分を与え、８歳の姿になってしまったヴァルハラ星王家の姫ワるきゅーレ。想いが通じ合った２人は、時乃湯で相変わらず賑やかな毎日を送っていた。子供の姿の時のワるきゅーレは、自分の好奇心のままに動く、やりたい放題のトラブルメイカーだ。ある日、不思議な“時の鍵”を見つけた彼女は、その力で時乃湯の手伝いをするが…。
"
26话 / 2004年4月5日 / 真下耕一 ",MADLAX,26,MADLAX,2362,6.9,(301人评分),故事围绕着两位表面上看来没有共同点也互不了解对方存在的年轻女性展开。玛德拉丝是在陷入内战的卡萨索尼卡王国里一位对自己过去没有印象的传奇的雇佣兵和暗杀特务。另一位女主角是玛格丽特・巴顿，她是宁静的欧洲国家那芙列斯一个富裕贵族家庭的唯一继承人。在故事开篇的12年前，玛格丽特和她的母亲乘坐的飞机在卡萨索尼卡坠毁。那次事件之后，飞机上的乘客以及担任救援人员指挥工作的玛格丽特的父亲一直行踪不明。但是，玛格丽特独自一人回到了那芙列斯，可是已失去了记忆，她唯一能回想起的只有“玛德拉丝”这一个词，然而这条线索将两位少女联系在了一起。自从强大的犯罪集团安纺的神秘的幕后主使人显示出对她们两人的兴趣，她们开始对安纺展开独立的调查。
